PM2.5,PM10,O3,SO2,CO,Wind Speed,Temp
37.0,68.0,21.0,8.0,731.0,6.0,28.0
42.0,67.0,25.0,10.0,726.0,5.0,24.0
53.0,86.0,28.0,8.0,647.0,5.0,29.0
53.0,86.0,28.0,8.0,647.0,5.0,26.0
37.0,68.0,21.0,8.0,731.0,4.0,28.0
53.0,86.0,28.0,8.0,647.0,6.0,26.0
39.0,70.0,22.0,18.0,707.0,6.0,24.0
53.0,86.0,28.0,8.0,647.0,6.0,24.0
37.0,68.0,21.0,8.0,731.0,6.0,22.0
39.0,70.0,22.0,18.0,707.0,6.0,22.0
53.0,86.0,28.0,8.0,647.0,6.0,30.0
20.0,32.0,29.0,8.0,474.0,12.0,32.0
53.0,76.0,1.0,2.0,78.0,13.0,33.0
20.0,32.0,29.0,8.0,474.0,13.0,33.0
53.0,76.0,1.0,2.0,78.0,11.0,33.0
20.0,32.0,29.0,8.0,474.0,12.0,28.0
58.0,83.0,3.0,3.0,131.0,13.0,33.0
58.0,83.0,3.0,3.0,131.0,12.0,33.0
58.0,83.0,3.0,3.0,131.0,12.0,33.0
20.0,32.0,29.0,8.0,474.0,12.0,29.0
58.0,83.0,3.0,3.0,131.0,11.0,31.0
29.0,48.0,23.0,9.0,378.0,13.0,32.0
